Rat,Session,Pattern,RI,PercentCorrect,TotalArmEntries
1,1,Random,5,100,4
2,1,Random,5,100,4
3,1,Random,5,100,4
4,1,Random,5,100,4
5,1,Random,5,100,4
6,1,Random,5,100,4
7,1,Random,5,100,4
8,1,Random,5,100,4
1,2,Random,5,75,5
2,2,Random,5,100,4
3,2,Random,5,100,4
4,2,Random,5,100,4
5,2,Random,5,100,4
6,2,Random,5,100,4
7,2,Random,5,100,4
8,2,Random,5,100,4
1,3,Random,5,100,4
2,3,Random,5,100,4
3,3,Random,5,100,4
4,3,Random,5,100,4
5,3,Random,5,100,4
6,3,Random,5,100,4
7,3,Random,5,100,4
8,3,Random,5,100,4
1,4,Random,5,100,4
2,4,Random,5,100,4
3,4,Random,5,100,4
4,4,Random,5,100,4
5,4,Random,5,100,4
6,4,Random,5,100,4
7,4,Random,5,100,4
8,4,Random,5,100,4
1,1,Random,60,100,4
2,1,Random,60,100,4
3,1,Random,60,75,5
4,1,Random,60,100,4
5,1,Random,60,50,6
6,1,Random,60,100,4
7,1,Random,60,100,4
8,1,Random,60,75,5
1,2,Random,60,75,5
2,2,Random,60,100,4
3,2,Random,60,100,4
4,2,Random,60,100,4
5,2,Random,60,100,4
6,2,Random,60,100,4
7,2,Random,60,100,4
8,2,Random,60,75,5
1,1,Random,240,100,4
2,1,Random,240,100,4
3,1,Random,240,75,5
4,1,Random,240,75,5
5,1,Random,240,75,6
6,1,Random,240,100,4
7,1,Random,240,75,5
8,1,Random,240,75,5
1,2,Random,240,75,5
2,2,Random,240,75,6
3,2,Random,240,75,5
4,2,Random,240,75,6
5,2,Random,240,75,7
6,2,Random,240,75,5
7,2,Random,240,100,4
8,2,Random,240,100,4
1,1,Random,1440,50,8
2,1,Random,1440,50,8
3,1,Random,1440,75,5
4,1,Random,1440,50,8
5,1,Random,1440,75,6
6,1,Random,1440,50,7
7,1,Random,1440,25,8
8,1,Random,1440,75,6
1,2,Random,1440,50,8
2,2,Random,1440,50,8
3,2,Random,1440,75,6
4,2,Random,1440,75,6
5,2,Random,1440,50,7
6,2,Random,1440,50,7
7,2,Random,1440,50,6
8,2,Random,1440,50,8
1,1,Adjacent,5,100,4
2,1,Adjacent,5,100,4
3,1,Adjacent,5,100,4
4,1,Adjacent,5,100,4
5,1,Adjacent,5,100,4
6,1,Adjacent,5,100,4
7,1,Adjacent,5,100,4
8,1,Adjacent,5,100,4
1,2,Adjacent,5,100,4
2,2,Adjacent,5,100,4
3,2,Adjacent,5,100,4
4,2,Adjacent,5,100,4
5,2,Adjacent,5,100,4
6,2,Adjacent,5,100,4
7,2,Adjacent,5,100,4
8,2,Adjacent,5,100,4
1,1,Adjacent,60,100,4
2,1,Adjacent,60,100,4
3,1,Adjacent,60,75,8
4,1,Adjacent,60,75,5
5,1,Adjacent,60,100,4
6,1,Adjacent,60,100,4
7,1,Adjacent,60,75,5
8,1,Adjacent,60,100,4
1,2,Adjacent,60,75,5
2,2,Adjacent,60,75,5
3,2,Adjacent,60,100,4
4,2,Adjacent,60,100,4
5,2,Adjacent,60,100,4
6,2,Adjacent,60,75,5
7,2,Adjacent,60,100,4
8,2,Adjacent,60,100,4
1,1,Adjacent,240,75,5
2,1,Adjacent,240,75,6
3,1,Adjacent,240,75,6
4,1,Adjacent,240,50,6
5,1,Adjacent,240,75,5
6,1,Adjacent,240,75,7
7,1,Adjacent,240,75,6
8,1,Adjacent,240,100,4
1,2,Adjacent,240,100,4
2,2,Adjacent,240,100,4
3,2,Adjacent,240,50,6
4,2,Adjacent,240,75,5
5,2,Adjacent,240,75,5
6,2,Adjacent,240,75,5
7,2,Adjacent,240,75,5
8,2,Adjacent,240,50,7
1,1,Adjacent,1440,50,8
2,1,Adjacent,1440,50,6
3,1,Adjacent,1440,50,7
4,1,Adjacent,1440,75,8
5,1,Adjacent,1440,50,6
6,1,Adjacent,1440,50,7
7,1,Adjacent,1440,50,7
8,1,Adjacent,1440,75,7
1,2,Adjacent,1440,75,6
2,2,Adjacent,1440,50,6
3,2,Adjacent,1440,50,7
4,2,Adjacent,1440,50,6
5,2,Adjacent,1440,50,6
6,2,Adjacent,1440,50,7
7,2,Adjacent,1440,50,6
8,2,Adjacent,1440,50,7
1,1,Alternating,5,100,4
2,1,Alternating,5,75,5
3,1,Alternating,5,100,4
4,1,Alternating,5,100,4
5,1,Alternating,5,100,4
6,1,Alternating,5,100,4
7,1,Alternating,5,100,4
8,1,Alternating,5,100,4
1,2,Alternating,5,100,4
2,2,Alternating,5,100,4
3,2,Alternating,5,75,5
4,2,Alternating,5,100,4
5,2,Alternating,5,100,4
6,2,Alternating,5,100,4
7,2,Alternating,5,100,4
8,2,Alternating,5,100,4
1,1,Alternating,60,100,4
2,1,Alternating,60,100,4
3,1,Alternating,60,100,4
4,1,Alternating,60,100,4
5,1,Alternating,60,100,4
6,1,Alternating,60,100,4
7,1,Alternating,60,100,4
8,1,Alternating,60,100,4
1,2,Alternating,60,100,4
2,2,Alternating,60,100,4
3,2,Alternating,60,75,6
4,2,Alternating,60,100,4
5,2,Alternating,60,100,4
6,2,Alternating,60,100,4
7,2,Alternating,60,75,5
8,2,Alternating,60,100,4
1,1,Alternating,240,100,4
2,1,Alternating,240,100,4
3,1,Alternating,240,100,4
4,1,Alternating,240,75,5
5,1,Alternating,240,75,5
6,1,Alternating,240,100,4
7,1,Alternating,240,100,4
8,1,Alternating,240,100,4
1,2,Alternating,240,100,4
2,2,Alternating,240,100,4
3,2,Alternating,240,100,4
4,2,Alternating,240,100,4
5,2,Alternating,240,100,4
6,2,Alternating,240,100,4
7,2,Alternating,240,75,6
8,2,Alternating,240,100,4
1,1,Alternating,1440,75,7
2,1,Alternating,1440,100,4
3,1,Alternating,1440,100,4
4,1,Alternating,1440,75,5
5,1,Alternating,1440,25,8
6,1,Alternating,1440,75,7
7,1,Alternating,1440,100,4
8,1,Alternating,1440,75,7
1,2,Alternating,1440,50,7
2,2,Alternating,1440,25,8
3,2,Alternating,1440,75,8
4,2,Alternating,1440,75,6
5,2,Alternating,1440,50,8
6,2,Alternating,1440,50,8
7,2,Alternating,1440,50,8
8,2,Alternating,1440,100,4
